title,classification,link_web,telephone
Marygreen Manor Hotel & Restaurant,Traditional Restaurants,https://www.marygreenmanor.co.uk/weddings-in-essex.html,01277 225252 
A Toca Restaurant,Portuguese Restaurants,https://www.atoca-lambeth.co.uk,020 3006 6282 
Accra Palace Ltd,African Restaurants,http://www.accrapalace.co.uk,020 3105 5416 
Da Franco Ristorante Italiano,Italian Restaurants,https://www.dafrancorestaurant.co.uk/,020 8368 6224 
MAGA,African Restaurants,https://www.magafoods.co.uk/?utm_source=yell&utm_medium=referral&utm_campaign=yell,07804 132231 
Jay Dees Catering,Caribbean Restaurants,https://www.jaydeescatering.co.uk/,020 7243 5969 
Marygreen Manor Hotel & Restaurant,Hotels,https://www.marygreenmanor.co.uk/accommodation-in-brentwood.html,01277 225252 
Elachi Indian Restaurant,Indian Restaurants,https://www.elachiindianrestaurant.co.uk,01689 828800 
Paladar,Speciality Restaurants,https://paladarlondon.com/?utm_source=yell&utm_medium=referral&utm_campaign=yell,020 7186 5555 
Mezza Me,Lebanese Restaurants,https://www.mezzame.co.uk/?utm_source=yell&utm_medium=referral&utm_campaign=yell,020 7733 3098 
Vongs Kitchen,Chinese Takeaways,https://www.vongskitchen.com/,020 7511 1819 
Ammos Hyde Park,Seafood Restaurants,https://ammoshydepark.com/,020 7262 0169 
Chelsea Gourmet Oriental,Chinese Takeaways,http://ttps://www.chelseagourmetoriental.co.uk/,020 7351 1714 
Daddy O's Suya Spot Ltd,African Restaurants,,07833 253472 
Greek & Mediterranean Taverna,Greek Restaurants,,020 7263 5582 
Brazilian Gourmet Ltd,Bistros,http://www.braziliangourmet.co.uk,020 7018 0879 
Maureen's Pie & Mash Shop,English Restaurants,http://www.maureenspieandmash.co.uk/,07956 381216 
Terroirs,French Restaurants,http://www.terriorswinebar.com,020 7036 0660 
Coconut,Thai Restaurants,,020 7928 2462 
Bronte Restaurant & Cocktail Bar,European Restaurants,,020 7930 8855 
Steak & Co,Steakhouse Restaurants,http://www.steakandco.com/steak-co,020 7839 8100 
The National Cafe,European Restaurants,http://www.nationalgallery.org.uk,020 7747 5942 
